Realm_Name,Ecoregion_Name,Country_Name,Distance_to_Shore,Exposure,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_DHW,SSTA_DHW_Standard_Deviation,TSA,TSA_Standard_Deviation,Date,Site_Comments,Sample_Comments,Bleaching_Comments
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,123.51,Sometimes,43.39,24,10,2015,4,Nutrient Indicator Algae,1.25,Population,0.75,301.69,-0.14,0.98,0,2.77,3.32,-3.02,2.88,2015-10-24,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,459.75,Sheltered,51.46,27,11,2015,6,Hard Coral,66.25,Population,0.75,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-27,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,459.75,Sheltered,51.46,27,11,2015,6,Nutrient Indicator Algae,0,Population,0.75,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-27,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,782.39,Sheltered,51.57,22,9,2016,6,Hard Coral,18.12,Population,0.75,297.41,0.8,0.72,0,0,2.65,-4.23,2.22,2016-09-22,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,782.39,Sheltered,51.57,22,9,2016,6,Nutrient Indicator Algae,0.62,Population,0.75,297.41,0.8,0.72,0,0,2.65,-4.23,2.22,2016-09-22,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,2173.19,Sheltered,51.57,24,11,2015,6,Hard Coral,62.5,Population,1,299.92,0.42,0.73,0,0,2.55,-1.87,2.29,2015-11-24,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,2173.19,Sheltered,51.57,24,11,2015,6,Nutrient Indicator Algae,0,Population,1,299.92,0.42,0.73,0,0,2.55,-1.87,2.29,2015-11-24,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1345.62,Sheltered,51.57,24,11,2015,5,Hard Coral,63.12,Population,1,299.92,0.42,0.73,0,0,2.55,-1.87,2.29,2015-11-24,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1345.62,Sheltered,51.57,24,11,2015,5,Nutrient Indicator Algae,0,Population,1,299.92,0.42,0.73,0,0,2.55,-1.87,2.29,2015-11-24,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,782.39,Sheltered,51.57,28,11,2015,5,Hard Coral,30.62,Population,1,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-28,nd,nd,nd
